id_odsp,league,ht,at,fthg,ftag,MATCH_ID
UFot0hit/,D1,Borussia Dortmund,Hamburg SV,3,1,1
zeViBqAP/,F1,Marseille,Sochaux,2,2,2
WQGN5NXn/,F1,AS Nancy Lorraine,Lille,1,1,3
UBZQ4smg/,F1,Nice,Lyon,1,3,4
x4HJ63It/,F1,Montpellier,AJ Auxerre,3,1,5
CzPV312a/,F1,Paris Saint-Germain,Lorient,0,1,6
GUOdmtII/,F1,Caen,Valenciennes,1,0,7
M7PhlM2C/,F1,Brest,Evian Thonon Gaillard,2,2,8
QuWqjrYa/,F1,AC Ajaccio,Toulouse,0,2,9
lOpzwMkp/,D1,Hertha Berlin,Nurnberg,0,1,10
xQ65dAj5/,D1,VfB Stuttgart,Schalke 04,3,0,11
Wn69eU5B/,D1,FC Cologne,VfL Wolfsburg,0,3,12
xtklbWLh/,D1,Hannover 96,TSG Hoffenheim,2,1,13
Aw5DflLH/,D1,FC Augsburg,SC Freiburg,2,2,14
bkjpaC6n/,D1,Werder Bremen,Kaiserslautern,2,0,15
fLN0n0XO/,F1,Dijon FCO,Stade Rennes,1,5,16
84Llk2m6/,F1,Bordeaux,St Etienne,1,2,17
K4vgcjya/,D1,Mainz,Bayer Leverkusen,2,0,18
SEqvxt5j/,D1,Bayern Munich,Borussia Monchengladbach,0,1,19
bgY8R85H/,E0,QPR,Bolton,0,4,20
4WY4SljB/,E0,Newcastle,Arsenal,0,0,21
EkQZqjLo/,E0,Wigan,Norwich City,1,1,22
4nHmUALb/,E0,Fulham,Aston Villa,0,0,23
nB6hTUz5/,E0,Liverpool,Sunderland,1,1,24
QeIqVj6h/,E0,Blackburn,Wolves,1,2,25
pYve0J1O/,F1,Lorient,Bordeaux,1,1,26
I5sHJt2n/,F1,St Etienne,AS Nancy Lorraine,1,0,27
x8cIHKWb/,F1,Toulouse,Dijon FCO,2,0,28
WUdMGvn5/,F1,Valenciennes,Brest,0,0,29
vFrDKMnt/,F1,Stade Rennes,Paris Saint-Germain,1,1,30
bHbEI0Hh/,F1,Sochaux,Caen,1,2,31
byqaawHU/,F1,Lyon,AC Ajaccio,1,1,32
Ea52eLBS/,D1,TSG Hoffenheim,Borussia Dortmund,1,0,33
bw0Yaqcc/,D1,Schalke 04,FC Cologne,5,1,34
KhlsbNR9/,D1,Nurnberg,Hannover 96,1,2,35
lShocssG/,D1,SC Freiburg,Mainz,1,2,36
UPAXkaZk/,D1,Borussia Monchengladbach,VfB Stuttgart,1,1,37
t2kwa3C3/,D1,Hamburg SV,Hertha Berlin,2,2,38
z3BTjuKq/,D1,VfL Wolfsburg,Bayern Munich,0,1,39
xpXCQSKN/,E0,Stoke City,Chelsea,0,0,40
dUDqL6ro/,E0,West Brom,Manchester Utd,1,2,41
29kj1anI/,F1,Lille,Montpellier,0,1,42
fqnr3LH5/,F1,AJ Auxerre,Marseille,2,2,43
OIjn2uXB/,F1,Evian Thonon Gaillard,Nice,1,0,44
pzdU0Psi/,D1,Bayer Leverkusen,Werder Bremen,1,0,45
WzGcd1dM/,D1,Kaiserslautern,FC Augsburg,1,1,46
CQJ2BZ8q/,E0,Manchester City,Swansea,4,0,47
WMIN4blq/,D1,Borussia Monchengladbach,VfL Wolfsburg,4,1,48
YeGvMwZe/,E0,Sunderland,Newcastle,0,1,49
jHI6AgOk/,E0,Swansea,Wigan,0,0,50
pYb2uSZG/,E0,Everton,QPR,0,1,51
faYsrUkb/,E0,Aston Villa,Blackburn,3,1,52
2Pyjt8KA/,E0,Chelsea,West Brom,2,1,53
CzqwqAzh/,E0,Arsenal,Liverpool,0,2,54
A5DsExWN/,F1,Brest,Lyon,1,1,55
tl4D8Ggo/,F1,Dijon FCO,Lorient,2,0,56
vuIoDdoU/,F1,Caen,Lille,1,2,57
YRfEE6s4/,F1,Nice,Toulouse,1,1,58
WEEwFIGH/,F1,Bordeaux,AJ Auxerre,1,1,59
ljPYFb1B/,F1,AC Ajaccio,Evian Thonon Gaillard,1,1,60
ljHSD2Rd/,D1,Bayern Munich,Hamburg SV,5,0,61
IV8qAKQL/,D1,VfB Stuttgart,Bayer Leverkusen,0,1,62
0vWe9vtS/,D1,FC Cologne,Kaiserslautern,1,1,63
8G9ykJld/,D1,Borussia Dortmund,Nurnberg,2,0,64
ADHR3I3k/,D1,FC Augsburg,TSG Hoffenheim,0,2,65
StGWCMt3/,D1,Werder Bremen,SC Freiburg,5,3,66
vZGzNJJk/,E0,Norwich City,Stoke City,1,1,67
YkXosl54/,E0,Bolton,Manchester City,2,3,68
CnFrLcl2/,E0,Wolves,Fulham,2,0,69
fydAFnSc/,F1,AS Nancy Lorraine,Sochaux,1,2,70
0Ed6GSCi/,F1,Montpellier,Stade Rennes,4,0,71
j3kJDQdA/,F1,Paris Saint-Germain,Valenciennes,2,1,72
lvg2H8co/,F1,Marseille,St Etienne,0,0,73
M3FzCtd9/,D1,Hannover 96,Hertha Berlin,1,1,74
z7JvB0BF/,D1,Mainz,Schalke 04,2,4,75
QVCWNa4q/,E0,Manchester Utd,Tottenham,3,0,76
vwm9GyYl/,D1,Hertha Berlin,VfB Stuttgart,1,0,77
SzFQuuBL/,E0,Liverpool,Bolton,3,1,78
tKCErsR2/,E0,Aston Villa,Wolves,0,0,79
Yu8B9Dwd/,E0,Swansea,Sunderland,0,0,80
6F7IXGI1/,E0,Wigan,QPR,2,0,81
EXAMtLeF/,E0,Chelsea,Norwich City,3,1,82
KABIs1t9/,E0,Blackburn,Everton,0,1,83
Q7zaeItq/,F1,Evian Thonon Gaillard,Dijon FCO,0,1,84
rNNmGa32/,F1,Nice,Brest,0,0,85
MZT7gdBe/,F1,Lorient,AS Nancy Lorraine,2,1,86
YBCVCpCG/,F1,AJ Auxerre,AC Ajaccio,4,1,87
0QSBhGQ1/,F1,Lyon,Montpellier,2,1,88
C2F4CH2R/,F1,Valenciennes,Bordeaux,1,2,89
dEc4HHIr/,D1,TSG Hoffenheim,Werder Bremen,1,2,90
bJFwOweL/,D1,SC Freiburg,VfL Wolfsburg,3,0,91
htFsNcAR/,D1,Kaiserslautern,Bayern Munich,0,3,92
hx7W2xJe/,D1,Bayer Leverkusen,Borussia Dortmund,0,0,93
O0NQQuB2/,D1,Hamburg SV,FC Cologne,3,4,94
KSGZOJuF/,D1,Nurnberg,FC Augsburg,1,0,95
jRPmWlS6/,SP1,Valencia,Racing Santander,4,3,96
O2rLz4Jh/,SP1,Granada,Real Betis,0,1,97
CtEdUSdJ/,SP1,Sporting Gijon,Real Sociedad,1,2,98
